Geography,Birth Year,Vaccinated,Sample Size
Georgia,2011,196,219
Georgia,2012,248,270
Georgia,2013,261,276
Georgia,2014,252,284
Georgia,2015,276,306
Georgia,2016,311,334
Georgia,2017,265,292
Georgia,2018,246,282
Georgia,2019,251,273
Georgia,2020,165,188
Wisconsin,2011,207,225
Wisconsin,2012,205,226
Wisconsin,2013,212,235
Wisconsin,2014,195,224
Wisconsin,2015,231,262
Wisconsin,2016,246,275
Wisconsin,2017,215,238
Wisconsin,2018,214,241
Wisconsin,2019,197,224
Wisconsin,2020,156,177
Mississippi,2011,171,198
Mississippi,2012,208,230
Mississippi,2013,190,217
Mississippi,2014,215,239
Mississippi,2015,243,272
Mississippi,2016,276,307
Mississippi,2017,290,321
Mississippi,2018,242,276
Mississippi,2019,304,324
Mississippi,2020,161,181
